what,kind,bundleId,bundleVersion,description,time
opened,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1544670512429
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1544670512582
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1544670531645
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544670554474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544670554685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544670564734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544670564911
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1544670593851
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1544670598890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544670598947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544670603980
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1544670603989
opened,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1544670604809
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1544670604881
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544670656991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544670657197
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1544670657214
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1544670662771
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1544670663889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544670663933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544670675039
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1544670675045
opened,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1544670677185
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1544670677256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544670767454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544670767638
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1544670767643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544670776767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544670777003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544670786068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544670786272
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1544670795314
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1544670796697
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544670796740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544670798695
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1544670798700
opened,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1544670801026
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1544670801088
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1544670834577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544670951369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544670953847
error,log,,,"Exception in checkAndLoadTargetData.",1544670953855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544670955131
error,log,,,"Parsing Data for android-19 failed",1544670956819
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544670959707
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544670963794
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1544670969694
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1544670969734
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1544670969774
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1544670969818
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1544670969833
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1544670969845
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1544670969847
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1544670969849
